Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,class41,class42,class43,class44,class45,class46,class47,class48,class49,class50,class51,class52,class53,class54,class55,class56,class57,class58,class59,class60,class61,class62,class63,class64,class65,class66,class67,class68,class69,class70,class71,class72,class73,class74,class75,class76,class77,class78,class79,class80,class81,class82,class83,class84,class85,class86,class87,class88,class89,class90,class91,class92,class93,class94,class95,class96,class97,class98,class99,Amount
Client   0,0.007,0.009,0.00,0.00,0.017,0.00,0.00,0.005,0.012,0.007,0.005,0.002,0.00,0.005,0.014,0.009,0.026,0.026,0.00,0.012,0.00,0.009,0.002,0.002,0.005,0.012,0.045,0.002,0.054,0.00,0.031,0.002,0.002,0.045,0.007,0.007,0.014,0.00,0.007,0.009,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.002,0.002,0.014,0.002,0.031,0.019,0.00,0.012,0.005,0.00,0.007,0.00,0.00,0.00,0.00,0.007,0.00,0.014,0.007,0.00,0.054,0.009,0.002,0.005,0.012,0.007,0.007,0.007,0.007,0.087,0.009,0.00,0.009,0.002,0.045,0.014,0.012,0.00,0.00,0.061,0.00,0.054,0.012,0.014,0.00,0.009,0.00,0.00,0.002,0.00,0.00,0.019,423
Client   1,0.00,0.004,0.039,0.012,0.077,0.00,0.004,0.00,0.00,0.00,0.00,0.002,0.00,0.030,0.024,0.039,0.014,0.022,0.008,0.008,0.079,0.002,0.00,0.014,0.00,0.00,0.00,0.002,0.002,0.00,0.002,0.055,0.00,0.00,0.030,0.00,0.00,0.00,0.002,0.037,0.00,0.004,0.00,0.033,0.002,0.008,0.002,0.010,0.126,0.008,0.008,0.00,0.00,0.006,0.00,0.00,0.002,0.020,0.010,0.002,0.00,0.00,0.047,0.057,0.00,0.00,0.014,0.002,0.031,0.00,0.012,0.00,0.004,0.00,0.012,0.024,0.00,0.002,0.006,0.002,0.041,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,508
Client   2,0.002,0.013,0.037,0.004,0.002,0.00,0.002,0.002,0.00,0.033,0.002,0.002,0.094,0.002,0.024,0.00,0.013,0.002,0.013,0.002,0.00,0.002,0.00,0.022,0.002,0.00,0.00,0.116,0.039,0.00,0.00,0.002,0.00,0.020,0.00,0.00,0.015,0.007,0.009,0.00,0.046,0.00,0.009,0.002,0.002,0.011,0.00,0.00,0.00,0.018,0.013,0.00,0.018,0.011,0.00,0.004,0.00,0.002,0.004,0.035,0.00,0.00,0.004,0.015,0.00,0.007,0.00,0.00,0.00,0.00,0.00,0.00,0.026,0.00,0.00,0.00,0.013,0.004,0.004,0.009,0.042,0.00,0.022,0.00,0.015,0.00,0.022,0.037,0.009,0.039,0.00,0.004,0.00,0.002,0.00,0.015,0.022,0.015,0.007,0.004,457
Client   3,0.00,0.00,0.00,0.077,0.002,0.019,0.00,0.00,0.00,0.00,0.002,0.004,0.036,0.032,0.028,0.00,0.008,0.00,0.002,0.002,0.004,0.002,0.00,0.002,0.00,0.00,0.002,0.00,0.026,0.00,0.002,0.004,0.006,0.00,0.00,0.006,0.00,0.002,0.002,0.002,0.00,0.00,0.00,0.00,0.002,0.002,0.023,0.017,0.009,0.002,0.041,0.019,0.009,0.00,0.039,0.045,0.00,0.00,0.062,0.004,0.006,0.006,0.00,0.00,0.004,0.009,0.00,0.00,0.004,0.013,0.015,0.00,0.002,0.00,0.019,0.004,0.013,0.002,0.008,0.002,0.008,0.00,0.054,0.056,0.004,0.00,0.041,0.00,0.002,0.006,0.00,0.00,0.011,0.026,0.00,0.047,0.032,0.066,0.00,0.00,533
Client   4,0.00,0.002,0.025,0.00,0.007,0.002,0.00,0.007,0.005,0.00,0.00,0.00,0.037,0.005,0.014,0.00,0.00,0.00,0.002,0.00,0.00,0.002,0.009,0.005,0.021,0.005,0.009,0.002,0.00,0.00,0.007,0.00,0.00,0.002,0.005,0.023,0.00,0.00,0.021,0.00,0.002,0.005,0.025,0.00,0.009,0.00,0.00,0.00,0.00,0.034,0.00,0.055,0.00,0.007,0.021,0.00,0.007,0.011,0.028,0.028,0.00,0.00,0.00,0.044,0.00,0.032,0.005,0.00,0.076,0.002,0.00,0.002,0.028,0.018,0.002,0.00,0.011,0.00,0.030,0.057,0.005,0.011,0.034,0.00,0.074,0.00,0.002,0.005,0.00,0.051,0.00,0.00,0.002,0.00,0.021,0.00,0.002,0.00,0.037,0.00,435
Client   5,0.016,0.004,0.018,0.00,0.010,0.016,0.00,0.002,0.004,0.004,0.00,0.002,0.00,0.002,0.00,0.004,0.053,0.012,0.071,0.018,0.00,0.00,0.004,0.00,0.00,0.032,0.00,0.00,0.004,0.002,0.055,0.006,0.002,0.00,0.002,0.002,0.034,0.00,0.053,0.016,0.00,0.061,0.036,0.00,0.020,0.022,0.026,0.002,0.00,0.00,0.012,0.044,0.012,0.00,0.115,0.002,0.004,0.00,0.002,0.00,0.012,0.00,0.00,0.00,0.022,0.014,0.00,0.00,0.00,0.00,0.00,0.012,0.004,0.00,0.034,0.00,0.00,0.00,0.00,0.002,0.020,0.00,0.002,0.002,0.00,0.073,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,505
Client   6,0.00,0.012,0.006,0.00,0.00,0.00,0.006,0.002,0.014,0.00,0.00,0.002,0.00,0.025,0.008,0.006,0.004,0.00,0.006,0.00,0.002,0.00,0.006,0.089,0.010,0.00,0.002,0.039,0.00,0.008,0.012,0.002,0.021,0.00,0.035,0.016,0.087,0.00,0.002,0.006,0.002,0.00,0.002,0.002,0.002,0.052,0.00,0.006,0.021,0.002,0.035,0.00,0.00,0.006,0.002,0.002,0.008,0.027,0.008,0.00,0.006,0.002,0.002,0.012,0.002,0.00,0.002,0.00,0.00,0.012,0.002,0.027,0.004,0.00,0.025,0.037,0.002,0.004,0.031,0.008,0.008,0.002,0.012,0.016,0.002,0.00,0.00,0.068,0.002,0.019,0.002,0.006,0.085,0.00,0.00,0.00,0.00,0.00,0.00,0.00,515
Client   7,0.006,0.066,0.00,0.011,0.00,0.00,0.00,0.00,0.006,0.00,0.002,0.00,0.002,0.004,0.00,0.002,0.021,0.006,0.002,0.002,0.00,0.002,0.002,0.00,0.00,0.002,0.00,0.00,0.00,0.002,0.008,0.019,0.00,0.006,0.00,0.004,0.00,0.002,0.002,0.008,0.026,0.021,0.004,0.013,0.008,0.034,0.034,0.002,0.004,0.017,0.017,0.00,0.006,0.00,0.00,0.00,0.006,0.00,0.004,0.051,0.00,0.043,0.00,0.071,0.00,0.002,0.009,0.004,0.004,0.009,0.008,0.015,0.066,0.096,0.00,0.00,0.030,0.00,0.00,0.013,0.002,0.00,0.002,0.00,0.00,0.028,0.00,0.030,0.004,0.00,0.008,0.047,0.008,0.002,0.073,0.00,0.00,0.00,0.00,0.00,532
Client   8,0.019,0.00,0.004,0.013,0.00,0.00,0.084,0.002,0.00,0.019,0.002,0.00,0.00,0.00,0.00,0.00,0.044,0.00,0.002,0.030,0.00,0.004,0.048,0.00,0.021,0.010,0.002,0.015,0.00,0.008,0.002,0.006,0.00,0.008,0.004,0.032,0.00,0.00,0.006,0.029,0.00,0.00,0.00,0.019,0.002,0.00,0.00,0.00,0.002,0.00,0.010,0.004,0.015,0.008,0.00,0.00,0.00,0.019,0.00,0.00,0.00,0.021,0.008,0.00,0.029,0.00,0.008,0.027,0.00,0.00,0.030,0.015,0.00,0.072,0.029,0.034,0.004,0.002,0.00,0.00,0.00,0.00,0.042,0.00,0.006,0.002,0.00,0.00,0.008,0.00,0.00,0.034,0.00,0.011,0.130,0.00,0.00,0.00,0.00,0.00,525
Client   9,0.00,0.070,0.00,0.014,0.030,0.002,0.012,0.012,0.002,0.022,0.00,0.004,0.00,0.012,0.030,0.002,0.038,0.034,0.00,0.00,0.004,0.00,0.00,0.00,0.00,0.004,0.020,0.00,0.002,0.00,0.00,0.002,0.00,0.00,0.026,0.00,0.00,0.002,0.004,0.002,0.00,0.00,0.00,0.038,0.010,0.00,0.058,0.020,0.002,0.002,0.006,0.00,0.002,0.082,0.036,0.012,0.00,0.00,0.018,0.00,0.002,0.004,0.036,0.002,0.020,0.018,0.002,0.008,0.078,0.00,0.010,0.006,0.046,0.00,0.00,0.004,0.00,0.00,0.00,0.00,0.002,0.024,0.004,0.00,0.002,0.004,0.004,0.00,0.080,0.012,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,502
