Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.110,0.108,0.112,0.070,0.086,0.108,0.104,0.094,0.114,0.094,500
Client   1,0.104,0.112,0.088,0.094,0.110,0.108,0.086,0.094,0.100,0.104,500
Client   2,0.104,0.096,0.084,0.106,0.098,0.090,0.124,0.108,0.090,0.100,500
Client   3,0.096,0.070,0.108,0.118,0.124,0.092,0.104,0.088,0.096,0.104,500
Client   4,0.110,0.076,0.094,0.112,0.108,0.106,0.118,0.090,0.082,0.104,500
Client   5,0.096,0.114,0.082,0.118,0.128,0.098,0.104,0.084,0.102,0.074,500
Client   6,0.096,0.122,0.088,0.108,0.120,0.070,0.092,0.102,0.100,0.102,500
Client   7,0.078,0.100,0.098,0.094,0.102,0.096,0.102,0.104,0.116,0.110,500
Client   8,0.076,0.100,0.110,0.096,0.096,0.124,0.116,0.106,0.082,0.094,500
Client   9,0.104,0.082,0.088,0.112,0.100,0.106,0.082,0.100,0.124,0.102,500
Client  10,0.110,0.086,0.110,0.094,0.108,0.078,0.094,0.102,0.098,0.120,500
Client  11,0.082,0.104,0.114,0.094,0.110,0.094,0.096,0.112,0.110,0.084,500
Client  12,0.076,0.098,0.100,0.098,0.112,0.098,0.104,0.104,0.108,0.102,500
Client  13,0.104,0.130,0.120,0.092,0.088,0.102,0.086,0.100,0.088,0.090,500
Client  14,0.088,0.122,0.108,0.104,0.096,0.090,0.100,0.082,0.106,0.104,500
Client  15,0.110,0.104,0.112,0.118,0.102,0.112,0.092,0.092,0.076,0.082,500
Client  16,0.098,0.072,0.136,0.092,0.096,0.108,0.098,0.112,0.100,0.088,500
Client  17,0.094,0.098,0.100,0.080,0.106,0.106,0.118,0.104,0.080,0.114,500
Client  18,0.094,0.078,0.102,0.134,0.082,0.116,0.104,0.126,0.090,0.074,500
Client  19,0.094,0.096,0.118,0.068,0.096,0.126,0.104,0.110,0.080,0.108,500
Client  20,0.100,0.104,0.114,0.106,0.090,0.110,0.068,0.116,0.118,0.074,500
Client  21,0.094,0.082,0.082,0.108,0.112,0.068,0.122,0.114,0.086,0.132,500
Client  22,0.108,0.098,0.100,0.120,0.116,0.086,0.078,0.086,0.114,0.094,500
Client  23,0.116,0.100,0.108,0.086,0.090,0.100,0.100,0.092,0.116,0.092,500
Client  24,0.108,0.106,0.106,0.112,0.104,0.098,0.098,0.092,0.074,0.102,500
Client  25,0.090,0.096,0.104,0.096,0.102,0.112,0.084,0.096,0.108,0.112,500
Client  26,0.112,0.080,0.086,0.100,0.116,0.090,0.090,0.144,0.096,0.086,500
Client  27,0.100,0.114,0.086,0.090,0.096,0.126,0.084,0.096,0.092,0.116,500
Client  28,0.084,0.108,0.086,0.110,0.100,0.108,0.106,0.106,0.100,0.092,500
Client  29,0.118,0.112,0.078,0.092,0.110,0.088,0.110,0.086,0.106,0.100,500
Client  30,0.114,0.092,0.088,0.108,0.092,0.098,0.126,0.094,0.094,0.094,500
Client  31,0.098,0.098,0.110,0.114,0.088,0.088,0.104,0.084,0.098,0.118,500
Client  32,0.090,0.104,0.116,0.094,0.070,0.090,0.092,0.124,0.102,0.118,500
Client  33,0.108,0.112,0.098,0.124,0.100,0.098,0.082,0.104,0.080,0.094,500
Client  34,0.082,0.104,0.088,0.118,0.096,0.112,0.106,0.094,0.108,0.092,500
Client  35,0.112,0.098,0.088,0.122,0.086,0.122,0.100,0.094,0.086,0.092,500
Client  36,0.096,0.098,0.106,0.108,0.088,0.088,0.124,0.100,0.098,0.094,500
Client  37,0.088,0.112,0.096,0.080,0.114,0.126,0.094,0.088,0.088,0.114,500
Client  38,0.096,0.106,0.118,0.096,0.098,0.100,0.098,0.090,0.080,0.118,500
Client  39,0.096,0.104,0.116,0.104,0.090,0.104,0.094,0.086,0.126,0.080,500
Client  40,0.094,0.094,0.104,0.108,0.072,0.120,0.092,0.110,0.102,0.104,500
Client  41,0.100,0.082,0.088,0.114,0.112,0.106,0.104,0.096,0.104,0.094,500
Client  42,0.104,0.078,0.086,0.104,0.100,0.114,0.082,0.106,0.112,0.114,500
Client  43,0.086,0.118,0.104,0.110,0.112,0.086,0.074,0.116,0.104,0.090,500
Client  44,0.098,0.104,0.106,0.098,0.074,0.090,0.116,0.112,0.120,0.082,500
Client  45,0.074,0.116,0.088,0.086,0.080,0.092,0.114,0.100,0.104,0.146,500
Client  46,0.110,0.114,0.090,0.098,0.084,0.098,0.068,0.120,0.104,0.114,500
Client  47,0.122,0.102,0.082,0.084,0.132,0.072,0.104,0.102,0.100,0.100,500
Client  48,0.120,0.110,0.108,0.078,0.122,0.096,0.100,0.080,0.094,0.092,500
Client  49,0.104,0.108,0.092,0.104,0.098,0.098,0.094,0.112,0.102,0.088,500
Client  50,0.100,0.126,0.104,0.094,0.112,0.084,0.086,0.098,0.106,0.090,500
Client  51,0.112,0.112,0.118,0.092,0.094,0.090,0.090,0.122,0.090,0.080,500
Client  52,0.098,0.098,0.106,0.106,0.112,0.092,0.104,0.098,0.104,0.082,500
Client  53,0.076,0.090,0.102,0.110,0.104,0.104,0.098,0.104,0.104,0.108,500
Client  54,0.086,0.098,0.094,0.078,0.090,0.126,0.090,0.108,0.120,0.110,500
Client  55,0.088,0.096,0.110,0.098,0.096,0.100,0.118,0.096,0.102,0.096,500
Client  56,0.130,0.110,0.108,0.102,0.078,0.094,0.094,0.102,0.082,0.100,500
Client  57,0.092,0.088,0.114,0.116,0.094,0.108,0.082,0.108,0.086,0.112,500
Client  58,0.100,0.092,0.096,0.102,0.112,0.108,0.100,0.092,0.104,0.094,500
Client  59,0.102,0.100,0.100,0.112,0.102,0.084,0.088,0.120,0.100,0.092,500
Client  60,0.100,0.072,0.116,0.098,0.112,0.106,0.088,0.104,0.096,0.108,500
Client  61,0.090,0.126,0.112,0.088,0.088,0.104,0.080,0.072,0.126,0.114,500
Client  62,0.086,0.094,0.110,0.076,0.124,0.112,0.112,0.092,0.106,0.088,500
Client  63,0.118,0.088,0.094,0.112,0.090,0.108,0.104,0.094,0.094,0.098,500
Client  64,0.110,0.096,0.100,0.110,0.098,0.090,0.098,0.102,0.106,0.090,500
Client  65,0.098,0.110,0.112,0.106,0.092,0.094,0.098,0.090,0.098,0.102,500
Client  66,0.120,0.092,0.086,0.106,0.100,0.090,0.100,0.096,0.108,0.102,500
Client  67,0.092,0.110,0.090,0.092,0.122,0.100,0.088,0.104,0.096,0.106,500
Client  68,0.102,0.092,0.106,0.078,0.080,0.118,0.120,0.100,0.090,0.114,500
Client  69,0.094,0.104,0.084,0.130,0.118,0.074,0.090,0.100,0.112,0.094,500
Client  70,0.102,0.082,0.108,0.080,0.102,0.110,0.098,0.100,0.090,0.128,500
Client  71,0.120,0.110,0.092,0.078,0.104,0.088,0.142,0.076,0.110,0.080,500
Client  72,0.070,0.122,0.078,0.118,0.100,0.104,0.082,0.110,0.100,0.116,500
Client  73,0.110,0.080,0.114,0.098,0.096,0.086,0.110,0.096,0.092,0.118,500
Client  74,0.094,0.082,0.080,0.126,0.086,0.098,0.100,0.116,0.122,0.096,500
