Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.170,0.00,0.104,0.00,0.145,0.004,0.340,0.041,0.075,0.120,241
Client   1,0.002,0.015,0.083,0.003,0.082,0.109,0.009,0.00,0.695,0.00,863
Client   2,0.120,0.759,0.122,0.00,0.00,0.00,0.00,0.00,0.00,0.00,526
Client   3,0.049,0.078,0.288,0.00,0.025,0.261,0.085,0.156,0.009,0.049,448
Client   4,0.00,0.007,0.399,0.00,0.110,0.110,0.127,0.004,0.233,0.011,283
Client   5,0.039,0.00,0.442,0.00,0.00,0.00,0.422,0.092,0.00,0.005,206
Client   6,0.00,0.859,0.00,0.141,0.00,0.00,0.00,0.00,0.00,0.00,518
Client   7,0.108,0.335,0.004,0.00,0.552,0.00,0.00,0.00,0.00,0.00,507
Client   8,0.231,0.002,0.118,0.038,0.148,0.164,0.002,0.046,0.00,0.252,603
Client   9,0.141,0.167,0.002,0.00,0.00,0.005,0.021,0.304,0.360,0.00,658
Client  10,0.198,0.002,0.168,0.004,0.179,0.166,0.284,0.00,0.00,0.00,571
Client  11,0.00,0.510,0.490,0.00,0.00,0.00,0.00,0.00,0.00,0.00,626
Client  12,0.016,0.054,0.095,0.028,0.121,0.304,0.233,0.034,0.115,0.00,503
Client  13,0.400,0.002,0.015,0.00,0.052,0.00,0.00,0.027,0.501,0.002,405
Client  14,0.00,0.395,0.00,0.00,0.00,0.00,0.035,0.391,0.147,0.031,258
Client  15,0.102,0.00,0.004,0.003,0.347,0.032,0.513,0.00,0.00,0.00,698
Client  16,0.00,0.065,0.010,0.192,0.036,0.648,0.00,0.041,0.003,0.005,386
Client  17,0.182,0.00,0.040,0.750,0.003,0.003,0.00,0.003,0.015,0.003,324
Client  18,0.128,0.106,0.00,0.171,0.00,0.00,0.001,0.131,0.037,0.426,868
Client  19,0.064,0.00,0.00,0.00,0.00,0.477,0.018,0.027,0.414,0.00,220
Client  20,0.036,0.339,0.006,0.218,0.00,0.012,0.00,0.006,0.376,0.006,165
Client  21,0.099,0.021,0.538,0.052,0.122,0.168,0.00,0.00,0.00,0.00,517
Client  22,0.148,0.00,0.00,0.029,0.519,0.022,0.033,0.105,0.143,0.00,580
Client  23,0.003,0.202,0.00,0.028,0.00,0.00,0.003,0.066,0.238,0.460,391
Client  24,0.022,0.084,0.140,0.031,0.00,0.016,0.00,0.174,0.438,0.096,322
Client  25,0.00,1.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,576
Client  26,0.212,0.145,0.184,0.00,0.410,0.008,0.041,0.00,0.00,0.00,510
Client  27,0.003,0.086,0.001,0.137,0.096,0.039,0.023,0.126,0.066,0.424,700
Client  28,0.086,0.062,0.081,0.00,0.028,0.020,0.00,0.065,0.658,0.00,690
Client  29,0.00,0.120,0.00,0.880,0.00,0.00,0.00,0.00,0.00,0.00,758
Client  30,0.959,0.041,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,514
Client  31,0.141,0.00,0.014,0.269,0.024,0.129,0.00,0.065,0.105,0.253,495
Client  32,0.00,0.004,0.425,0.170,0.013,0.011,0.025,0.142,0.210,0.00,471
Client  33,0.052,0.002,0.020,0.376,0.004,0.466,0.066,0.014,0.00,0.00,502
Client  34,0.027,0.009,0.194,0.065,0.034,0.00,0.515,0.009,0.004,0.142,551
Client  35,0.00,0.002,0.00,0.002,0.138,0.00,0.286,0.002,0.299,0.272,602
Client  36,0.00,0.008,0.052,0.020,0.432,0.137,0.016,0.090,0.245,0.00,502
Client  37,0.00,0.694,0.00,0.00,0.117,0.153,0.00,0.008,0.016,0.012,248
Client  38,0.032,0.073,0.049,0.293,0.189,0.044,0.052,0.269,0.00,0.00,618
Client  39,0.00,0.161,0.00,0.007,0.002,0.00,0.131,0.026,0.178,0.495,428
Client  40,0.602,0.009,0.004,0.00,0.385,0.00,0.00,0.00,0.00,0.00,762
Client  41,0.144,0.097,0.003,0.005,0.003,0.382,0.037,0.00,0.073,0.257,382
Client  42,0.069,0.014,0.031,0.00,0.00,0.003,0.030,0.854,0.00,0.00,740
Client  43,0.00,0.093,0.259,0.028,0.004,0.616,0.00,0.00,0.00,0.00,679
Client  44,0.099,0.00,0.084,0.240,0.259,0.00,0.088,0.080,0.031,0.119,513
Client  45,0.00,0.155,0.024,0.049,0.060,0.001,0.008,0.00,0.172,0.531,899
Client  46,0.044,0.028,0.004,0.009,0.110,0.357,0.304,0.144,0.00,0.00,543
Client  47,0.014,0.005,0.351,0.458,0.009,0.002,0.00,0.161,0.00,0.00,559
Client  48,0.024,0.186,0.003,0.00,0.00,0.087,0.701,0.00,0.00,0.00,678
Client  49,0.004,0.002,0.00,0.002,0.017,0.266,0.006,0.632,0.072,0.00,538
Client  50,0.002,0.002,0.196,0.075,0.00,0.007,0.719,0.00,0.00,0.00,601
Client  51,0.00,0.248,0.047,0.014,0.011,0.018,0.032,0.011,0.050,0.568,278
Client  52,0.005,0.00,0.430,0.00,0.101,0.008,0.438,0.00,0.016,0.00,365
Client  53,0.052,0.135,0.064,0.349,0.00,0.00,0.00,0.097,0.00,0.301,667
Client  54,0.00,0.026,0.037,0.372,0.00,0.547,0.004,0.011,0.00,0.002,457
Client  55,0.051,0.00,0.150,0.00,0.071,0.024,0.154,0.244,0.307,0.00,254
Client  56,0.006,0.004,0.203,0.032,0.179,0.00,0.408,0.169,0.00,0.00,503
Client  57,0.002,0.723,0.00,0.052,0.105,0.002,0.002,0.092,0.015,0.007,459
Client  58,0.003,0.00,0.00,0.00,0.275,0.024,0.062,0.026,0.609,0.00,875
Client  59,0.042,0.007,0.127,0.051,0.00,0.186,0.019,0.064,0.504,0.00,859
Client  60,0.123,0.046,0.007,0.732,0.00,0.003,0.020,0.00,0.00,0.070,302
Client  61,0.011,0.00,0.066,0.130,0.567,0.00,0.021,0.006,0.198,0.00,529
Client  62,0.089,0.00,0.024,0.061,0.207,0.053,0.276,0.057,0.232,0.00,246
Client  63,0.663,0.00,0.020,0.050,0.032,0.034,0.202,0.00,0.00,0.00,504
Client  64,0.192,0.002,0.00,0.573,0.009,0.00,0.094,0.00,0.00,0.129,426
Client  65,0.067,0.633,0.00,0.00,0.233,0.00,0.021,0.046,0.00,0.00,240
Client  66,0.002,0.109,0.491,0.00,0.012,0.00,0.029,0.00,0.357,0.00,585
Client  67,0.094,0.060,0.028,0.010,0.010,0.016,0.782,0.00,0.00,0.00,615
Client  68,0.001,0.058,0.001,0.003,0.00,0.00,0.011,0.188,0.106,0.632,761
Client  69,0.002,0.059,0.00,0.004,0.002,0.006,0.084,0.842,0.00,0.00,936
Client  70,0.027,0.00,0.011,0.011,0.231,0.253,0.128,0.00,0.053,0.287,376
Client  71,0.466,0.00,0.022,0.006,0.006,0.501,0.00,0.00,0.00,0.00,545
Client  72,0.287,0.012,0.095,0.061,0.202,0.028,0.046,0.00,0.003,0.266,327
Client  73,0.003,0.003,0.086,0.228,0.021,0.009,0.003,0.015,0.006,0.627,338
