Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.105,0.094,0.097,0.121,0.102,0.083,0.097,0.118,0.094,0.089,763
Client   1,0.102,0.094,0.091,0.100,0.098,0.119,0.094,0.102,0.094,0.105,561
Client   2,0.097,0.099,0.087,0.084,0.082,0.114,0.097,0.116,0.116,0.109,404
Client   3,0.086,0.123,0.111,0.092,0.081,0.117,0.109,0.092,0.086,0.103,359
Client   4,0.115,0.109,0.096,0.087,0.105,0.104,0.100,0.081,0.092,0.111,541
Client   5,0.105,0.097,0.143,0.073,0.086,0.127,0.100,0.103,0.089,0.076,370
Client   6,0.101,0.107,0.107,0.131,0.095,0.081,0.103,0.100,0.090,0.086,643
Client   7,0.077,0.103,0.119,0.097,0.108,0.112,0.094,0.086,0.101,0.104,556
Client   8,0.129,0.101,0.082,0.118,0.104,0.110,0.089,0.085,0.080,0.101,473
Client   9,0.094,0.104,0.100,0.071,0.083,0.102,0.102,0.123,0.125,0.096,520
Client  10,0.082,0.103,0.131,0.097,0.080,0.095,0.080,0.103,0.118,0.112,475
Client  11,0.115,0.110,0.112,0.079,0.107,0.107,0.084,0.104,0.104,0.079,356
Client  12,0.112,0.106,0.100,0.120,0.097,0.091,0.091,0.110,0.083,0.091,518
Client  13,0.081,0.100,0.104,0.127,0.093,0.091,0.102,0.102,0.117,0.085,472
Client  14,0.109,0.062,0.140,0.081,0.105,0.101,0.112,0.089,0.093,0.109,258
Client  15,0.118,0.107,0.093,0.102,0.105,0.089,0.080,0.091,0.097,0.118,637
Client  16,0.113,0.067,0.093,0.080,0.117,0.117,0.110,0.107,0.097,0.100,300
Client  17,0.105,0.077,0.098,0.089,0.124,0.100,0.105,0.075,0.110,0.117,428
Client  18,0.092,0.118,0.082,0.124,0.121,0.121,0.111,0.069,0.085,0.078,306
Client  19,0.096,0.122,0.088,0.131,0.102,0.100,0.104,0.072,0.098,0.090,502
Client  20,0.092,0.089,0.108,0.084,0.111,0.103,0.122,0.100,0.087,0.103,369
Client  21,0.078,0.110,0.094,0.114,0.091,0.107,0.099,0.083,0.117,0.108,983
Client  22,0.100,0.097,0.090,0.118,0.082,0.090,0.115,0.104,0.107,0.097,680
Client  23,0.109,0.085,0.094,0.088,0.100,0.128,0.100,0.100,0.122,0.073,468
Client  24,0.106,0.092,0.113,0.106,0.083,0.113,0.106,0.094,0.090,0.097,424
Client  25,0.105,0.092,0.128,0.096,0.099,0.099,0.096,0.107,0.101,0.078,477
Client  26,0.101,0.113,0.105,0.104,0.077,0.132,0.093,0.101,0.091,0.084,646
Client  27,0.097,0.091,0.107,0.113,0.081,0.095,0.101,0.110,0.107,0.098,692
Client  28,0.108,0.086,0.091,0.083,0.091,0.091,0.113,0.096,0.113,0.128,397
Client  29,0.091,0.088,0.108,0.112,0.080,0.097,0.103,0.123,0.106,0.091,536
Client  30,0.110,0.103,0.091,0.120,0.098,0.090,0.094,0.095,0.098,0.101,715
Client  31,0.081,0.103,0.105,0.113,0.113,0.092,0.115,0.070,0.112,0.095,715
Client  32,0.082,0.095,0.084,0.109,0.105,0.093,0.107,0.111,0.104,0.111,570
Client  33,0.113,0.108,0.086,0.108,0.064,0.115,0.111,0.115,0.079,0.101,407
Client  34,0.118,0.108,0.094,0.092,0.088,0.088,0.090,0.102,0.110,0.106,498
Client  35,0.105,0.077,0.116,0.090,0.114,0.105,0.084,0.097,0.090,0.120,465
Client  36,0.072,0.131,0.104,0.093,0.093,0.087,0.090,0.125,0.110,0.096,335
Client  37,0.085,0.117,0.117,0.096,0.094,0.101,0.122,0.087,0.099,0.083,436
Client  38,0.116,0.091,0.071,0.096,0.131,0.116,0.101,0.071,0.086,0.121,198
Client  39,0.094,0.135,0.100,0.118,0.120,0.094,0.069,0.090,0.076,0.104,510
Client  40,0.083,0.104,0.089,0.100,0.110,0.130,0.091,0.089,0.102,0.102,492
Client  41,0.091,0.095,0.110,0.081,0.106,0.097,0.114,0.097,0.098,0.112,528
Client  42,0.109,0.117,0.080,0.088,0.101,0.088,0.115,0.111,0.080,0.111,487
Client  43,0.100,0.088,0.085,0.109,0.085,0.104,0.100,0.116,0.104,0.109,603
Client  44,0.087,0.100,0.090,0.113,0.140,0.097,0.083,0.103,0.077,0.110,300
Client  45,0.089,0.109,0.083,0.103,0.118,0.109,0.088,0.098,0.106,0.097,661
Client  46,0.103,0.095,0.118,0.080,0.080,0.093,0.103,0.126,0.087,0.116,389
Client  47,0.083,0.082,0.120,0.105,0.092,0.100,0.115,0.101,0.097,0.106,601
Client  48,0.123,0.117,0.073,0.088,0.109,0.094,0.085,0.082,0.117,0.111,341
Client  49,0.090,0.103,0.129,0.111,0.100,0.113,0.061,0.090,0.119,0.084,379
Client  50,0.109,0.102,0.106,0.089,0.106,0.102,0.104,0.101,0.094,0.089,587
Client  51,0.116,0.122,0.109,0.103,0.096,0.106,0.109,0.093,0.068,0.077,311
Client  52,0.104,0.138,0.131,0.066,0.117,0.087,0.085,0.073,0.097,0.102,412
Client  53,0.085,0.127,0.103,0.103,0.121,0.109,0.091,0.088,0.094,0.082,331
Client  54,0.083,0.117,0.095,0.090,0.096,0.085,0.111,0.124,0.096,0.103,613
Client  55,0.129,0.095,0.098,0.081,0.079,0.091,0.110,0.102,0.102,0.112,518
Client  56,0.105,0.093,0.093,0.089,0.118,0.111,0.089,0.118,0.075,0.109,440
Client  57,0.107,0.102,0.107,0.099,0.131,0.086,0.088,0.086,0.107,0.088,374
Client  58,0.104,0.095,0.091,0.110,0.091,0.085,0.106,0.094,0.104,0.120,661
Client  59,0.121,0.104,0.110,0.098,0.084,0.098,0.107,0.084,0.104,0.092,347
Client  60,0.110,0.081,0.115,0.104,0.103,0.085,0.107,0.108,0.094,0.093,702
Client  61,0.100,0.109,0.125,0.086,0.095,0.084,0.088,0.109,0.100,0.104,441
Client  62,0.129,0.088,0.078,0.085,0.108,0.104,0.117,0.088,0.104,0.099,566
Client  63,0.116,0.102,0.088,0.111,0.100,0.109,0.092,0.106,0.095,0.081,568
Client  64,0.100,0.090,0.115,0.115,0.111,0.100,0.084,0.082,0.107,0.096,478
Client  65,0.104,0.098,0.082,0.096,0.069,0.109,0.093,0.120,0.101,0.128,376
Client  66,0.080,0.104,0.091,0.096,0.123,0.078,0.107,0.120,0.096,0.104,374
Client  67,0.089,0.126,0.123,0.113,0.094,0.081,0.101,0.081,0.103,0.091,595
Client  68,0.115,0.099,0.095,0.103,0.094,0.095,0.095,0.113,0.105,0.086,619
Client  69,0.093,0.115,0.076,0.107,0.095,0.115,0.117,0.110,0.080,0.093,410
Client  70,0.106,0.095,0.120,0.097,0.098,0.098,0.112,0.090,0.109,0.075,642
Client  71,0.095,0.091,0.096,0.100,0.122,0.081,0.131,0.117,0.072,0.095,581
Client  72,0.100,0.085,0.111,0.089,0.111,0.092,0.085,0.103,0.100,0.125,271
Client  73,0.100,0.067,0.120,0.095,0.111,0.134,0.117,0.078,0.075,0.103,359
Client  74,0.097,0.077,0.100,0.113,0.097,0.107,0.063,0.100,0.127,0.120,300
Client  75,0.083,0.089,0.097,0.111,0.117,0.083,0.106,0.097,0.100,0.117,360
Client  76,0.093,0.077,0.096,0.112,0.082,0.095,0.108,0.108,0.122,0.107,582
Client  77,0.113,0.097,0.101,0.086,0.103,0.104,0.101,0.099,0.095,0.101,776
Client  78,0.089,0.118,0.105,0.096,0.105,0.096,0.089,0.089,0.100,0.112,448
Client  79,0.106,0.114,0.083,0.100,0.104,0.114,0.102,0.104,0.087,0.087,519
Client  80,0.100,0.106,0.081,0.106,0.119,0.077,0.102,0.085,0.113,0.110,480
Client  81,0.087,0.096,0.087,0.082,0.111,0.098,0.127,0.091,0.111,0.111,450
Client  82,0.103,0.098,0.116,0.085,0.087,0.113,0.082,0.093,0.095,0.129,389
Client  83,0.113,0.112,0.082,0.092,0.133,0.093,0.093,0.102,0.090,0.090,600
Client  84,0.106,0.094,0.114,0.090,0.088,0.086,0.098,0.112,0.102,0.110,490
Client  85,0.083,0.113,0.100,0.092,0.100,0.109,0.089,0.119,0.095,0.100,672
Client  86,0.107,0.092,0.085,0.118,0.090,0.112,0.094,0.105,0.098,0.099,553
Client  87,0.084,0.098,0.096,0.114,0.092,0.106,0.098,0.114,0.100,0.098,510
Client  88,0.086,0.095,0.093,0.100,0.114,0.091,0.105,0.096,0.108,0.111,1365
Client  89,0.091,0.078,0.082,0.113,0.103,0.088,0.097,0.122,0.116,0.110,319
Client  90,0.098,0.094,0.098,0.078,0.094,0.134,0.101,0.104,0.094,0.104,307
Client  91,0.111,0.102,0.094,0.100,0.097,0.096,0.102,0.099,0.112,0.088,669
Client  92,0.122,0.093,0.082,0.103,0.098,0.095,0.093,0.111,0.093,0.109,377
Client  93,0.097,0.106,0.097,0.090,0.099,0.100,0.099,0.098,0.106,0.108,898
Client  94,0.118,0.074,0.107,0.089,0.101,0.104,0.095,0.098,0.101,0.115,338
Client  95,0.109,0.095,0.125,0.095,0.088,0.095,0.113,0.091,0.118,0.070,441
Client  96,0.097,0.087,0.100,0.082,0.112,0.095,0.104,0.122,0.132,0.070,402
Client  97,0.087,0.087,0.125,0.088,0.090,0.135,0.106,0.113,0.085,0.085,520
Client  98,0.101,0.099,0.080,0.101,0.113,0.094,0.096,0.104,0.104,0.108,575
Client  99,0.126,0.103,0.094,0.091,0.082,0.115,0.106,0.091,0.082,0.109,340
