Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.087,0.100,0.094,0.100,0.105,0.115,0.093,0.102,0.107,0.097,763
Client   1,0.105,0.112,0.084,0.082,0.111,0.102,0.094,0.114,0.100,0.096,561
Client   2,0.114,0.104,0.089,0.074,0.097,0.084,0.104,0.111,0.124,0.099,404
Client   3,0.086,0.109,0.106,0.092,0.125,0.081,0.095,0.097,0.084,0.125,359
Client   4,0.126,0.083,0.092,0.113,0.104,0.085,0.105,0.102,0.070,0.120,541
Client   5,0.076,0.108,0.111,0.084,0.116,0.127,0.097,0.105,0.086,0.089,370
Client   6,0.075,0.093,0.098,0.093,0.098,0.093,0.110,0.101,0.124,0.114,643
Client   7,0.094,0.090,0.112,0.108,0.110,0.095,0.097,0.092,0.099,0.104,556
Client   8,0.112,0.101,0.110,0.095,0.089,0.080,0.091,0.089,0.114,0.118,473
Client   9,0.112,0.087,0.108,0.085,0.100,0.110,0.096,0.092,0.113,0.098,520
Client  10,0.074,0.105,0.086,0.107,0.103,0.114,0.131,0.080,0.105,0.095,475
Client  11,0.079,0.104,0.115,0.090,0.107,0.104,0.070,0.126,0.090,0.115,356
Client  12,0.114,0.085,0.112,0.106,0.104,0.087,0.097,0.077,0.098,0.120,518
Client  13,0.121,0.114,0.104,0.089,0.068,0.100,0.104,0.089,0.112,0.100,472
Client  14,0.097,0.081,0.116,0.109,0.097,0.101,0.070,0.124,0.105,0.101,258
Client  15,0.099,0.121,0.085,0.082,0.108,0.113,0.086,0.083,0.100,0.122,637
Client  16,0.100,0.093,0.100,0.087,0.113,0.073,0.107,0.113,0.117,0.097,300
Client  17,0.103,0.119,0.114,0.089,0.075,0.089,0.091,0.103,0.124,0.093,428
Client  18,0.114,0.088,0.124,0.114,0.072,0.088,0.118,0.072,0.101,0.108,306
Client  19,0.102,0.090,0.108,0.102,0.100,0.096,0.104,0.114,0.086,0.102,502
Client  20,0.127,0.087,0.111,0.076,0.100,0.125,0.127,0.068,0.095,0.084,369
Client  21,0.096,0.094,0.106,0.083,0.112,0.077,0.101,0.124,0.103,0.105,983
Client  22,0.097,0.119,0.100,0.115,0.094,0.109,0.084,0.103,0.100,0.079,680
Client  23,0.111,0.094,0.115,0.096,0.100,0.118,0.107,0.088,0.083,0.088,468
Client  24,0.111,0.085,0.125,0.111,0.092,0.104,0.101,0.080,0.097,0.094,424
Client  25,0.109,0.078,0.117,0.092,0.111,0.094,0.115,0.086,0.078,0.119,477
Client  26,0.102,0.105,0.104,0.102,0.098,0.082,0.108,0.084,0.107,0.108,646
Client  27,0.105,0.103,0.092,0.101,0.095,0.111,0.107,0.097,0.100,0.088,692
Client  28,0.081,0.093,0.116,0.091,0.116,0.123,0.108,0.098,0.088,0.086,397
Client  29,0.125,0.084,0.112,0.127,0.080,0.119,0.099,0.104,0.082,0.067,536
Client  30,0.103,0.106,0.123,0.106,0.084,0.080,0.090,0.110,0.105,0.092,715
Client  31,0.083,0.113,0.095,0.099,0.099,0.103,0.116,0.098,0.103,0.090,715
Client  32,0.105,0.102,0.086,0.095,0.102,0.118,0.089,0.111,0.093,0.100,570
Client  33,0.074,0.111,0.086,0.096,0.111,0.103,0.115,0.108,0.076,0.120,407
Client  34,0.094,0.118,0.076,0.094,0.090,0.108,0.094,0.108,0.110,0.104,498
Client  35,0.067,0.088,0.105,0.118,0.129,0.112,0.080,0.127,0.090,0.084,465
Client  36,0.116,0.093,0.096,0.072,0.113,0.107,0.110,0.113,0.090,0.090,335
Client  37,0.085,0.131,0.092,0.096,0.092,0.080,0.101,0.110,0.110,0.103,436
Client  38,0.126,0.111,0.101,0.111,0.096,0.106,0.126,0.086,0.066,0.071,198
Client  39,0.102,0.086,0.112,0.096,0.106,0.108,0.094,0.088,0.125,0.082,510
Client  40,0.085,0.102,0.089,0.108,0.104,0.112,0.100,0.093,0.108,0.100,492
Client  41,0.098,0.116,0.095,0.098,0.083,0.114,0.110,0.102,0.080,0.104,528
Client  42,0.099,0.115,0.086,0.105,0.092,0.094,0.094,0.092,0.103,0.119,487
Client  43,0.085,0.111,0.098,0.101,0.103,0.111,0.098,0.114,0.098,0.081,603
Client  44,0.083,0.100,0.103,0.087,0.070,0.100,0.163,0.100,0.107,0.087,300
Client  45,0.116,0.115,0.104,0.104,0.101,0.092,0.080,0.076,0.116,0.094,661
Client  46,0.077,0.105,0.098,0.100,0.093,0.113,0.116,0.077,0.100,0.121,389
Client  47,0.097,0.077,0.116,0.097,0.103,0.106,0.118,0.106,0.103,0.077,601
Client  48,0.114,0.106,0.103,0.123,0.094,0.073,0.097,0.094,0.103,0.094,341
Client  49,0.111,0.113,0.100,0.092,0.079,0.092,0.127,0.079,0.108,0.098,379
Client  50,0.118,0.082,0.099,0.106,0.109,0.095,0.106,0.087,0.095,0.104,587
Client  51,0.106,0.071,0.116,0.106,0.113,0.135,0.093,0.103,0.087,0.071,311
Client  52,0.114,0.090,0.090,0.112,0.100,0.087,0.092,0.104,0.121,0.090,412
Client  53,0.079,0.112,0.115,0.085,0.106,0.121,0.091,0.097,0.094,0.103,331
Client  54,0.100,0.121,0.096,0.100,0.072,0.111,0.093,0.104,0.086,0.117,613
Client  55,0.118,0.106,0.075,0.098,0.122,0.102,0.085,0.093,0.093,0.108,518
Client  56,0.100,0.086,0.120,0.084,0.102,0.089,0.114,0.098,0.084,0.123,440
Client  57,0.088,0.110,0.094,0.091,0.107,0.115,0.120,0.104,0.099,0.072,374
Client  58,0.100,0.088,0.091,0.113,0.110,0.092,0.100,0.103,0.098,0.104,661
Client  59,0.089,0.095,0.086,0.112,0.133,0.095,0.084,0.104,0.092,0.110,347
Client  60,0.107,0.087,0.097,0.107,0.107,0.085,0.108,0.101,0.100,0.101,702
Client  61,0.100,0.100,0.068,0.113,0.111,0.079,0.086,0.109,0.111,0.122,441
Client  62,0.099,0.124,0.129,0.083,0.097,0.085,0.101,0.106,0.101,0.076,566
