Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.096,0.104,0.101,0.108,0.104,0.098,0.094,0.098,0.102,0.097,6000
Client   1,0.105,0.100,0.101,0.097,0.090,0.099,0.103,0.100,0.097,0.108,6000
Client   2,0.102,0.100,0.102,0.099,0.097,0.100,0.098,0.097,0.106,0.101,6000
Client   3,0.096,0.105,0.101,0.096,0.100,0.102,0.102,0.102,0.099,0.099,6000
Client   4,0.092,0.101,0.097,0.102,0.101,0.100,0.103,0.102,0.102,0.101,6000
Client   5,0.103,0.098,0.106,0.100,0.098,0.097,0.098,0.105,0.096,0.101,6000
Client   6,0.107,0.104,0.102,0.087,0.104,0.105,0.097,0.102,0.096,0.097,6000
Client   7,0.101,0.097,0.096,0.100,0.102,0.099,0.101,0.104,0.102,0.098,6000
Client   8,0.100,0.097,0.098,0.097,0.101,0.101,0.104,0.098,0.100,0.105,6000
Client   9,0.099,0.096,0.098,0.114,0.103,0.101,0.101,0.093,0.100,0.095,6000
