Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.00,6000
Client   1,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,4000
Client   2,0.00,0.00,0.667,0.00,0.00,0.00,0.00,0.00,0.00,0.333,9000
Client   3,0.333,0.00,0.00,0.667,0.00,0.00,0.00,0.00,0.00,0.00,9000
Client   4,0.00,0.00,0.00,0.00,0.500,0.00,0.500,0.00,0.00,0.00,6000
Client   5,0.00,0.00,0.00,0.00,0.00,0.400,0.00,0.00,0.600,0.00,5000
Client   6,0.00,0.400,0.00,0.00,0.00,0.00,0.600,0.00,0.00,0.00,5000
Client   7,0.00,0.00,0.00,0.00,0.00,0.400,0.00,0.600,0.00,0.00,5000
Client   8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,0.00,6000
Client   9,0.00,0.400,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.600,5000
