Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.00,0.500,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,500
Client   1,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,500
Client   2,0.00,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,500
Client   3,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500
Client   4,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.500,0.00,500
Client   5,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,500
Client   6,0.00,0.00,0.00,0.500,0.00,0.500,0.00,0.00,0.00,0.00,500
Client   7,0.00,0.00,0.00,0.00,0.500,0.00,0.500,0.00,0.00,0.00,500
Client   8,0.00,0.00,0.500,0.00,0.00,0.500,0.00,0.00,0.00,0.00,500
Client   9,0.500,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500
Client  10,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.500,500
Client  11,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,0.500,0.00,500
Client  12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,500
Client  13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.500,500
Client  14,0.00,0.00,0.500,0.00,0.00,0.00,0.500,0.00,0.00,0.00,500
Client  15,0.500,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,0.00,500
Client  16,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,0.00,500
Client  17,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,0.00,0.00,500
Client  18,0.00,0.00,0.00,0.00,1.000,0.00,0.00,0.00,0.00,0.00,500
Client  19,0.500,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,500
Client  20,0.00,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,500
Client  21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.000,0.00,500
Client  22,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.500,0.00,0.00,500
Client  23,0.500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.500,0.00,500
