Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.250,0.00,0.00,0.00,0.500,0.250,0.00,0.00,0.00,0.00,6000
Client   1,0.263,0.211,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.526,5700
Client   2,0.00,0.00,0.400,0.00,0.00,0.300,0.300,0.00,0.00,0.00,5000
Client   3,0.00,0.00,0.00,0.400,0.00,0.00,0.200,0.00,0.400,0.00,7500
Client   4,0.00,0.211,0.00,0.00,0.526,0.00,0.263,0.00,0.00,0.00,5700
Client   5,0.00,0.211,0.00,0.00,0.00,0.263,0.00,0.526,0.00,0.00,5700
Client   6,0.00,0.286,0.00,0.00,0.00,0.357,0.357,0.00,0.00,0.00,4200
Client   7,0.231,0.00,0.308,0.00,0.00,0.00,0.00,0.462,0.00,0.00,6500
Client   8,0.00,0.167,0.00,0.417,0.00,0.00,0.00,0.00,0.417,0.00,7200
Client   9,0.231,0.00,0.308,0.00,0.00,0.00,0.00,0.00,0.00,0.462,6500
