Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.000,0.040,0.00,0.007,0.036,0.092,0.008,0.454,0.362,0.00,6968
Client   1,0.201,0.081,0.002,0.302,0.193,0.221,0.00,0.00,0.00,0.00,6300
Client   2,0.002,0.090,0.172,0.178,0.080,0.048,0.430,0.00,0.00,0.00,6482
Client   3,0.00,0.002,0.147,0.142,0.033,0.058,0.000,0.058,0.280,0.279,4687
Client   4,0.040,0.177,0.014,0.00,0.200,0.022,0.154,0.204,0.189,0.00,6530
Client   5,0.343,0.256,0.011,0.043,0.019,0.040,0.094,0.068,0.011,0.116,4562
Client   6,0.065,0.001,0.078,0.146,0.301,0.033,0.000,0.098,0.003,0.274,6781
Client   7,0.322,0.294,0.217,0.004,0.050,0.113,0.00,0.00,0.00,0.00,6637
Client   8,0.039,0.016,0.120,0.060,0.002,0.283,0.161,0.015,0.051,0.252,5810
Client   9,0.016,0.047,0.261,0.128,0.014,0.084,0.150,0.033,0.106,0.160,5243
