Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.104,0.097,0.096,0.100,0.102,0.104,0.099,0.099,0.103,0.097,4513
Client   1,0.097,0.128,0.093,0.101,0.093,0.101,0.097,0.110,0.079,0.101,227
Client   2,0.106,0.101,0.106,0.082,0.088,0.106,0.114,0.095,0.095,0.106,377
Client   3,0.095,0.100,0.098,0.101,0.098,0.097,0.108,0.098,0.102,0.102,5704
Client   4,0.064,0.109,0.055,0.100,0.109,0.055,0.118,0.118,0.100,0.173,110
Client   5,0.101,0.101,0.102,0.098,0.099,0.100,0.098,0.101,0.099,0.101,37889
Client   6,0.080,0.125,0.080,0.102,0.080,0.148,0.148,0.068,0.068,0.102,88
Client   7,0.099,0.095,0.097,0.096,0.107,0.101,0.102,0.098,0.105,0.100,4713
Client   8,0.098,0.095,0.097,0.113,0.106,0.101,0.098,0.097,0.098,0.098,3967
Client   9,0.096,0.102,0.099,0.114,0.101,0.100,0.106,0.093,0.098,0.091,2407
